Artist Name,Track Name,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Liveness,Valence,Tempo,Duration,Time Signature
Boston,Hitch a Ride,0.382,0.814,-7.23,1,0.0406,0.0011,0.101,5.69e-06,116.454,251733.0,4
The Raincoats,No Side to Fall In,0.434,0.614,-8.334,1,0.0525,0.486,0.394,7.870000000000001e-06,147.681,109667.0,4
Deno,Lingo (feat. J.I & Chunkz),0.853,0.597,-6.528,0,0.0555,0.0212,0.122,5.69e-06,107.033,173968.0,4
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,0.167,0.975,-4.279,1,0.216,0.000169,0.172,9.18e-07,199.06,229960.0,4
The Stooges,Search and Destroy - Iggy Pop Mix,0.235,0.977,0.878,1,0.107,0.00353,0.172,2.41e-06,152.952,208133.0,4
Solomon Burke,None Of Us Are Free,0.674,0.658,-9.647,0,0.104,0.404,0.0981,6.77e-06,143.292,329387.0,4
Randy Travis,On the Other Hand,0.657,0.415,-9.915,1,0.025,0.175,0.132,3.47e-06,96.03,3.105783333,4
Professional Murder Music,Slow,0.431,0.776,-5.403,1,0.0527,2.21e-05,0.179,3.18e-06,120.857,237867.0,4
Mohammed Rafi,Meri Dosti Mera Pyar,0.491,0.563,-8.588,0,0.0331,0.957,0.263,8.429999999999999e-06,95.558,4.33045,4
Arctic Monkeys,The View From The Afternoon,0.387,0.922,-5.192,0,0.0674,0.00487,0.187,4.17e-06,146.478,222947.0,4
"Harald Lassen, Bram de Looze",How it feels pt. 2,0.462,0.374,-12.069,0,0.0331,0.949,0.131,1.7399999999999999e-06,122.939,4.44025,3
Buffalo Springfield,For What It's Worth,0.653,0.519,-10.164,1,0.0497,0.406,0.101,8.22e-06,98.883,153693.0,4
Elmore James,Madison Blues,0.431,0.852,-6.522,1,0.0431,0.564,0.254,7.94e-06,67.601,146800.0,4
Velvet Two Stripes,Drinks,0.564,0.801,-4.73,0,0.0473,0.00233,0.067,4.0100000000000006e-06,105.01,154293.0,4
